id,run,mapped_ms,settled_ms,pss_kb,cpu_s,child_pss_kb,thumbs_n,pss_anon_kb,uss_kb,drm_kb,thumbs_by_dir,cpu_tree_s,thumbs_by_format,ranked,preview_ms
flea,1,825,4259,136184,1.70,3251,74,102848,108636,273388,fail=0;large=74,2.07,heic=0;jpg=0;mkv=13;mp4=49;png=0;txt=0;webm=12;webp=0;unknown=0,yes,-
nautilus,1,862,17757,177652,9.49,0,541,84020,167620,180104,fail=0;large=541,12.97,heic=13;jpg=0;mkv=0;mp4=400;png=14;txt=0;webm=100;webp=14;unknown=0,yes,-
thunar,1,520,13285,41699,7.55,0,221,17780,36856,0,fail=0;large=0;normal=221,7.55,heic=0;jpg=0;mkv=37;mp4=148;png=0;txt=0;webm=36;webp=0;unknown=0,yes,-
pcmanfm,1,384,-1,39834,39.59,0,604,17224,27996,0,fail=0;large=0;normal=604,90.64,heic=0;jpg=0;mkv=0;mp4=400;png=104;txt=0;webm=100;webp=0;unknown=0,yes,-
nemo,1,749,3330,55268,2.14,0,60,30164,43332,0,fail=0;large=60,5.07,heic=0;jpg=45;mkv=0;mp4=0;png=0;txt=0;webm=0;webp=15;unknown=0,yes,-
dolphin,1,651,15294,101101,4.24,0,790,20988,80588,0,fail=0;large=0;normal=790,69.79,heic=0;jpg=288;mkv=84;mp4=335;png=0;txt=0;webm=83;webp=0;unknown=0,yes,-
strata,1,644,7852,89383,1.93,0,205,58844,84648,114176,fail=0;large=205,2.31,heic=0;jpg=0;mkv=34;mp4=137;png=0;txt=0;webm=34;webp=0;unknown=0,yes,-
yazi,1,288,1698,51107,0.31,0,n/a,34912,50828,0,fail=0;large=0,1.14,n/a,n/a: tui in kitty,819
mc,1,271,875,5654,0.04,0,n/a,3600,5240,0,fail=0;large=0,0.04,n/a,n/a: tui in kitty,-1
broot,1,290,509,4813,0.01,0,n/a,1324,4692,0,fail=0;large=0,0.01,n/a,n/a: tui in kitty,-1
nnn,1,321,561,2746,0.03,0,n/a,2056,2584,0,fail=0;large=0,0.03,n/a,n/a: tui in kitty,716
lf,1,292,1858,72802,1.06,0,n/a,69800,70604,0,fail=0;large=0,1.06,n/a,n/a: tui in kitty,747
ranger,1,274,1006,29040,0.30,0,n/a,26200,27024,0,fail=0;large=0,0.31,n/a,n/a: tui in kitty,1111
xplr,1,253,583,14232,0.18,0,n/a,9192,14152,0,fail=0;large=0,0.18,n/a,n/a: tui in kitty,-1
superfile,1,286,1160,159099,0.44,0,n/a,144504,158980,0,fail=0;large=0,0.89,n/a,n/a: tui in kitty,710
flea,2,914,4440,135424,1.71,3195,74,101716,107608,273388,fail=0;large=74,2.04,heic=0;jpg=0;mkv=13;mp4=49;png=0;txt=0;webm=12;webp=0;unknown=0,yes,-
nautilus,2,847,17131,176354,9.44,0,541,83224,166544,180104,fail=0;large=541,12.87,heic=13;jpg=0;mkv=0;mp4=400;png=14;txt=0;webm=100;webp=14;unknown=0,yes,-
thunar,2,462,12985,40130,7.47,0,221,16208,35308,0,fail=0;large=0;normal=221,7.47,heic=0;jpg=0;mkv=37;mp4=148;png=0;txt=0;webm=36;webp=0;unknown=0,yes,-
pcmanfm,2,389,-1,39779,39.54,0,605,17152,28016,0,fail=0;large=0;normal=605,90.93,heic=0;jpg=0;mkv=0;mp4=400;png=105;txt=0;webm=100;webp=0;unknown=0,yes,-
nemo,2,768,2950,55175,2.25,0,60,30008,43140,0,fail=0;large=60,5.31,heic=0;jpg=45;mkv=0;mp4=0;png=0;txt=0;webm=0;webp=15;unknown=0,yes,-
